|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   1   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   1   |    0|    0|      0 |
|1+  |     0|1110110000010000|  0  |      0|   0   |    0|    0|      0 |
|2   |     0|1110110000010000|  0  |      0|   0   |27664|    1|      0 |
|2+  |     0|0101101110100000|  0  |      0|   0   |27664|    1|      0 |
|3   |     0|0101101110100000|  0  |      0|   0   |27664|    2|      0 |
|3+  |     0|1110000111010000|  0  |      0|   0   |27664|    2|      0 |
|4   |     0|1110000111010000|  0  |      0|   0   |25040|    3|      0 |
|4+  |     0|0000001111101000|  0  |      0|   1   |25040|    3|      0 |
|5   |     0|0000001111101000|  0  |      0|   1   |25040|    4|      0 |
|5+  |     0|1110001100001000|  0  |      0|   1   |25040|    4|      0 |
|6   |     0|1110001100001000|  0  |      0|   1   |25352|    5|      0 |
|6+  |     0|0000001111101001|  0  |      0|   1   |25352|    5|      0 |
|7   |     0|0000001111101001|  0  |      0|   1   |25352|25352|      0 |
|7+  |     0|1110001110011000|  0  |      0|   1   |25352|25352|      0 |
|8   |     0|1110001110011000|  0  |      0|   1   |25496|25353|      0 |
|8+  |     0|0000001111101000|  0  |      0|   1   |25496|25353|      0 |
|9   |     0|0000001111101000|  0  |      0|   1   |25496|25354|      0 |
|9+  | 11111|1111010011010000|  0  |      0|   0   |25496|25354|      0 |
|10  | 11111|1111010011010000|  0  |      0|   0   |29904|25355|      0 |
|10+ | 11111|0000000000001110|  0  |      0|   1   |29904|25355|      0 |
|11  | 11111|0000000000001110|  0  |      0|   1   |29904|25356|      0 |
|11+ | 11111|1110001100000100|  0  |      0|   0   |29904|25356|      0 |
|12  | 11111|1110001100000100|  0  |      0|   0   |25348|25357|      0 |
|12+ | 11111|0000001111100111|  0  |      0|   0   |25348|25357|      0 |
|13  | 11111|0000001111100111|  0  |      0|   0   |25348|25348|      0 |
|13+ | 11111|1110110111100000|  0  |      0|   0   |25348|25348|      0 |
|14  | 11111|1110110111100000|  0  |      0|   0   |28128|25349|      0 |
|14+ | 11111|1110001100001000|  0  |      0|   1   |28128|25349|      0 |
|15  | 11111|1110001100001000|  0  |      0|   1   |25352|25350|      0 |
|15+ | 11111|0000000000010101|  0  |      0|   0   |25352|25350|      0 |
|16  | 11111|0000000000010101|  0  |      0|   0   |25352|25352|      0 |
|16+ | 11111|1110011111000010|  0  |      0|   0   |25352|25352|      0 |
|17  | 11111|1110011111000010|  0  |      0|   0   |26562|25353|      0 |
|17+ | 11111|0000000000000010|  0  |      0|   0   |26562|25353|      0 |
|18  | 11111|0000000000000010|  0  |      0|   0   |26562|25354|      0 |
|18+ | 11111|1110000010010000|  0  |      0|   0   |26562|25354|      0 |
|19  | 11111|1110000010010000|  0  |      0|   0   |24720|25355|      0 |
|19+ | 11111|0000001111101000|  0  |      0|   1   |24720|25355|      0 |
|20  | 11111|0000001111101000|  0  |      0|   1   |24720|25356|      0 |
|20+ | 11111|1110111010010000|  0  |      0|   0   |24720|25356|      0 |
|21  | 11111|1110111010010000|  0  |      0|   0   |28304|25357|      0 |
|21+ | 11111|1110001100000001|  0  |      0|   0   |28304|25357|      0 |
|22  | 11111|1110001100000001|  0  |      0|   0   |25345|28304|      0 |
|22+ | 11111|1110001100000010|  0  |      0|   0   |25345|28304|      0 |
|23  | 11111|1110001100000010|  0  |      0|   0   |25346|28305|      0 |
|23+ | 11111|1110001100000011|  0  |      0|   0   |25346|28305|      0 |
|24  | 11111|1110001100000011|  0  |      0|   0   |25347|25346|      0 |
|24+ | 11111|1110001100000100|  0  |      0|   0   |25347|25346|      0 |
|25  | 11111|1110001100000100|  0  |      0|   0   |25348|25347|      0 |
|25+ | 11111|1110001100000101|  0  |      0|   0   |25348|25347|      0 |
|26  | 11111|1110001100000101|  0  |      0|   0   |25349|25348|      0 |
|26+ | 11111|1110001100000110|  0  |      0|   0   |25349|25348|      0 |
|27  | 11111|1110001100000110|  0  |      0|   0   |25350|25349|      0 |
|27+ | 11111|1110001100000111|  0  |      0|   0   |25350|25349|      0 |
|28  | 11111|1110001100000111|  0  |      0|   0   |25351|25350|      0 |
|28+ | 11111|1110101010010000|  0  |      0|   0   |25351|25350|      0 |
|29  | 11111|1110101010010000|  0  |      0|   0   |27280|25351|      0 |
|29+ | 11111|1110001100000001|  0  |      0|   0   |27280|25351|      0 |
|30  | 11111|1110001100000001|  0  |      0|   0   |25345|27280|      0 |
|30+ | 11111|1110001100000010|  0  |      0|   0   |25345|27280|      0 |
|31  | 11111|1110001100000010|  0  |      0|   0   |25346|27281|      0 |
|31+ | 11111|1110001100000011|  0  |      0|   0   |25346|27281|      0 |
|32  | 11111|1110001100000011|  0  |      0|   0   |25347|25346|      0 |
|32+ | 11111|1110001100000100|  0  |      0|   0   |25347|25346|      0 |
|33  | 11111|1110001100000100|  0  |      0|   0   |25348|25347|      0 |
|33+ | 11111|1110001100000101|  0  |      0|   0   |25348|25347|      0 |
|34  | 11111|1110001100000101|  0  |      0|   0   |25349|25348|      0 |
|34+ | 11111|1110001100000110|  0  |      0|   0   |25349|25348|      0 |
|35  | 11111|1110001100000110|  0  |      0|   0   |25350|25349|      0 |
|35+ | 11111|1110001100000111|  0  |      0|   0   |25350|25349|      0 |
|36  | 11111|1110001100000111|  0  |      0|   0   |25351|25350|      0 |
|36+ | 11111|1110111111010000|  0  |      0|   0   |25351|25350|      0 |
|37  | 11111|1110111111010000|  0  |      0|   0   |28624|25351|      0 |
|37+ | 11111|1110001100000001|  0  |      0|   0   |28624|25351|      0 |
|38  | 11111|1110001100000001|  0  |      0|   0   |25345|28624|      0 |
|38+ | 11111|1110001100000010|  0  |      0|   0   |25345|28624|      0 |
|39  | 11111|1110001100000010|  0  |      0|   0   |25346|28625|      0 |
|39+ | 11111|1110001100000011|  0  |      0|   0   |25346|28625|      0 |
|40  | 11111|1110001100000011|  0  |      0|   0   |25347|25346|      0 |
|40+ | 11111|1110001100000100|  0  |      0|   0   |25347|25346|      0 |
|41  | 11111|1110001100000100|  0  |      0|   0   |25348|25347|      0 |
