asm: 256; hack: 0000000100000000; instruction_number: 0
asm: 0; hack: 0000000000000000; instruction_number: 2
asm: 133; hack: 0000000010000101; instruction_number: 4
asm: 15; hack: 0000000000001111; instruction_number: 6
asm: 0; hack: 0000000000000000; instruction_number: 8
asm: 19; hack: 0000000000010011; instruction_number: 14
asm: 0; hack: 0000000000000000; instruction_number: 16
asm: 15; hack: 0000000000001111; instruction_number: 19
asm: 15; hack: 0000000000001111; instruction_number: 22
asm: 0; hack: 0000000000000000; instruction_number: 24
asm: 35; hack: 0000000000100011; instruction_number: 30
asm: 0; hack: 0000000000000000; instruction_number: 32
asm: 15; hack: 0000000000001111; instruction_number: 35
asm: 15; hack: 0000000000001111; instruction_number: 38
asm: 0; hack: 0000000000000000; instruction_number: 40
asm: 51; hack: 0000000000110011; instruction_number: 46
asm: 0; hack: 0000000000000000; instruction_number: 48
asm: 15; hack: 0000000000001111; instruction_number: 51
asm: 5; hack: 0000000000000101; instruction_number: 54
asm: 1; hack: 0000000000000001; instruction_number: 56
asm: 13; hack: 0000000000001101; instruction_number: 59
asm: 0; hack: 0000000000000000; instruction_number: 61
asm: 2; hack: 0000000000000010; instruction_number: 64
asm: 0; hack: 0000000000000000; instruction_number: 68
asm: 1; hack: 0000000000000001; instruction_number: 70
asm: 14; hack: 0000000000001110; instruction_number: 72
asm: 4; hack: 0000000000000100; instruction_number: 75
asm: 14; hack: 0000000000001110; instruction_number: 77
asm: 3; hack: 0000000000000011; instruction_number: 80
asm: 14; hack: 0000000000001110; instruction_number: 82
asm: 2; hack: 0000000000000010; instruction_number: 85
asm: 14; hack: 0000000000001110; instruction_number: 87
asm: 1; hack: 0000000000000001; instruction_number: 90
asm: 13; hack: 0000000000001101; instruction_number: 92
asm: 0; hack: 0000000000000000; instruction_number: 95
asm: 1; hack: 0000000000000001; instruction_number: 98
asm: 0; hack: 0000000000000000; instruction_number: 100
asm: 2; hack: 0000000000000010; instruction_number: 103
asm: 0; hack: 0000000000000000; instruction_number: 105
asm: 3; hack: 0000000000000011; instruction_number: 108
asm: 0; hack: 0000000000000000; instruction_number: 110
asm: 4; hack: 0000000000000100; instruction_number: 113
asm: 0; hack: 0000000000000000; instruction_number: 115
asm: 4; hack: 0000000000000100; instruction_number: 118
asm: 13; hack: 0000000000001101; instruction_number: 120
asm: 0; hack: 0000000000000000; instruction_number: 122
asm: 2; hack: 0000000000000010; instruction_number: 124
asm: 0; hack: 0000000000000000; instruction_number: 126
asm: 1; hack: 0000000000000001; instruction_number: 128
asm: 14; hack: 0000000000001110; instruction_number: 130
asm: 0; hack: 0000000000000000; instruction_number: 133
asm: 13; hack: 0000000000001101; instruction_number: 135
asm: 27058; hack: 0110100110110010; instruction_number: 137
asm: 14; hack: 0000000000001110; instruction_number: 139
asm: 16; hack: 0000000000010000; instruction_number: 141
asm: 95; hack: 0000000001011111; instruction_number: 143
asm: 15; hack: 0000000000001111; instruction_number: 145
asm: 0; hack: 0000000000000000; instruction_number: 147
asm: 1; hack: 0000000000000001; instruction_number: 151
asm: 13; hack: 0000000000001101; instruction_number: 153
asm: 8643; hack: 0010000111000011; instruction_number: 155
asm: 14; hack: 0000000000001110; instruction_number: 157
asm: 17; hack: 0000000000010001; instruction_number: 159
asm: 95; hack: 0000000001011111; instruction_number: 161
asm: 0; hack: 0000000000000000; instruction_number: 163
asm: 3; hack: 0000000000000011; instruction_number: 166
asm: 2; hack: 0000000000000010; instruction_number: 168
asm: 0; hack: 0000000000000000; instruction_number: 171
asm: 0; hack: 0000000000000000; instruction_number: 175
asm: 3; hack: 0000000000000011; instruction_number: 178
asm: 2; hack: 0000000000000010; instruction_number: 181
asm: 0; hack: 0000000000000000; instruction_number: 184
asm: 0; hack: 0000000000000000; instruction_number: 188
asm: 3; hack: 0000000000000011; instruction_number: 191
asm: 2; hack: 0000000000000010; instruction_number: 194
asm: 0; hack: 0000000000000000; instruction_number: 198
asm: 3; hack: 0000000000000011; instruction_number: 202
asm: 10; hack: 0000000000001010; instruction_number: 204
asm: 13; hack: 0000000000001101; instruction_number: 206
asm: 0; hack: 0000000000000000; instruction_number: 208
asm: 13; hack: 0000000000001101; instruction_number: 211
